RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,DMSTC_TOUR_TY_VALUE,OVSEA_TOUR_TY_VALUE,HAS_DMSTC_EXP,HAS_OVSEA_EXP,TRAVEL_STYLE_SCOPE
7167,202507,M,50대,인천광역시,700만원 이상,개별 여행,여행경험없음,True,False,국내만
43863,202507,M,30대,경기도,모름,여행경험없음,개별 여행,False,True,해외만
44974,202507,F,60대,경기도,700만원 이상,개별 여행,단체 패키지 여행,True,True,국내+해외
53208,202507,F,60대,경기도,700만원 이상,개별 여행,여행경험없음,True,False,국내만
54830,202507,F,60대,전라남도,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
56141,202507,F,60대,경기도,700만원 이상,개별 여행,단체 패키지 여행,True,True,국내+해외
68093,202507,M,60대,경기도,700만원 이상,개별 여행,여행경험없음,True,False,국내만
69842,202507,M,60대,경기도,700만원 이상,개별 여행,개별 여행,True,True,국내+해외
71380,202507,M,60대,경기도,모름,개별 여행,여행경험없음,True,False,국내만
80125,202507,F,60대,경상북도,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
81954,202507,M,60대,경기도,300이상500만원 미만,여행경험없음,개별 여행,False,True,해외만
94696,202507,F,60대,경상북도,500이상700만원 미만,개별 여행,단체 패키지 여행,True,True,국내+해외
96402,202507,F,60대,경상남도,300만원 미만,개별 여행,단체 패키지 여행,True,True,국내+해외
98584,202507,M,60대,서울특별시,300이상500만원 미만,개별 여행,개별 여행,True,True,국내+해외
105156,202507,M,60대,경상북도,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
135798,202507,M,60대,경기도,모름,개별 여행,여행경험없음,True,False,국내만
136084,202507,F,60대,경상남도,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
147287,202507,F,60대,충청남도(세종시 포함),300만원 미만,여행경험없음,단체 패키지 여행,False,True,해외만
149570,202507,M,40대,전라남도,모름,에어텔 또는 에어카텔 패키지 여행,여행경험없음,True,False,국내만
153718,202507,F,60대,충청남도(세종시 포함),500이상700만원 미만,개별 여행,단체 패키지 여행,True,True,국내+해외
155829,202507,M,30대,인천광역시,300이상500만원 미만,개별 여행,개별 여행,True,True,국내+해외
159160,202507,F,60대,경기도,700만원 이상,개별 여행,여행경험없음,True,False,국내만
167572,202507,F,60대,경기도,700만원 이상,개별 여행,에어텔 또는 에어카텔 패키지 여행,True,True,국내+해외
189514,202507,M,60대,경기도,모름,개별 여행,여행경험없음,True,False,국내만
200996,202507,F,60대,부산광역시,700만원 이상,개별 여행,여행경험없음,True,False,국내만
207006,202507,F,60대,경기도,300만원 미만,개별 여행,여행경험없음,True,False,국내만
212283,202507,M,30대,강원도,모름,개별 여행,개별 여행,True,True,국내+해외
212663,202507,M,30대,경상북도,모름,개별 여행,개별 여행,True,True,국내+해외
216418,202507,M,20대,경기도,500이상700만원 미만,개별 여행,개별 여행,True,True,국내+해외
225513,202507,M,60대,경기도,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
228695,202507,F,40대,경상북도,모름,개별 여행,여행경험없음,True,False,국내만
233902,202507,M,30대,경기도,700만원 이상,개별 여행,개별 여행,True,True,국내+해외
234488,202507,F,60대,강원도,모름,여행경험없음,단체 패키지 여행,False,True,해외만
236019,202507,F,60대,부산광역시,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
236067,202507,M,30대,경기도,300만원 미만,개별 여행,단체 패키지 여행,True,True,국내+해외
240754,202507,F,50대,전라북도,700만원 이상,개별 여행,여행경험없음,True,False,국내만
