RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_BEGIN_DE,TOUR_PD_VALUE,TOUR_COM_NMPR_NM,COM_ONE_TY,TOUR_PURPS_NM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_TOT_CT_VALUE_NUM,TOUR_LDGMNT_CT_VALUE_NUM,TOUR_FOOD_CT_VALUE_NUM,TOUR_TRNSPORT_CT_VALUE_NUM,TOUR_SHOPNG_CT_VALUE_NUM,TOUR_ACTVTY_CT_VALUE_NUM,TOUR_ETC_CT_VALUE_NUM,TOUR_PD_VALUE_NUM,TOUR_COM_NMPR_NM_NUM,TRAVEL_MONTH,IS_PEAK_SEASON,TOTAL_EXP_ESTIMATED,TRAVEL_STYLE_GROUP
300,20251013,강원도,영월군,20251001,2박 3일,혼자서,혼자서,역사-유적 감상 (유적지/ 박물관 등),M,60대 이상,기타,자녀 독립(막내 결혼),기타/무직,모름,40만원 이상,10만원 이상,1만원 미만,1만원 미만,10만원 이상,10만원 이상,1만원 미만,45.0,11.5,0.5,0.5,11.5,11.5,0.5,3.0,1.0,10,False,36.0,혼자여행
1013,20250929,인천시,모름,20250911,1박 2일,3명,친구,축제-행사 참여,M,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,300~500만원 미만,20~30만원 미만,3~5만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,5~7만원 미만,1~3만원 미만,25.0,4.0,6.0,6.0,0.5,6.0,2.0,2.0,3.0,9,True,24.5,소규모동반
1984,20251013,전라남도,목포시/신안군/영광군,20251012,1박 2일,혼자서,혼자서,역사-유적 감상 (유적지/ 박물관 등),F,60대 이상,기타,신혼기(자녀 없음),기타/무직,300만원 미만,40만원 이상,10만원 이상,10만원 이상,10만원 이상,1~3만원 미만,5~7만원 미만,3~5만원 미만,45.0,11.5,11.5,11.5,2.0,6.0,4.0,2.0,1.0,10,False,46.5,혼자여행
2703,20250609,강원도,동해시,20250310,3박 4일,2명,배우자,식도락 (지역 특색/제철 음식),F,50대,기혼,자녀 독립(막내 결혼),판매/서비스직,모름,모름,모름,모름,모름,모름,모름,모름,,,,,,,,4.0,2.0,3,False,0.0,소규모동반
3239,20250428,전라북도,임실군,20250111,1박 2일,2명,배우자,놀이/테마공원-온천 등 즐기기,M,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,300~500만원 미만,10만원 미만,1만원 미만,1~3만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,1만원 미만,5.0,0.5,2.0,2.0,4.0,0.5,0.5,2.0,2.0,1,False,9.5,소규모동반
4785,20251027,경상북도,문경시,20250815,2박 3일,2명,배우자,자연 풍경 감상 (산/ 바다 등),M,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상,30~40만원 미만,7~10만원 미만,10만원 이상,5~7만원 미만,5~7만원 미만,3~5만원 미만,1만원 미만,35.0,8.5,11.5,6.0,6.0,4.0,0.5,3.0,2.0,8,True,36.5,소규모동반
5759,20250818,경상남도,남해군/사천시/진주시/함안군,20250725,1박 2일,2명,배우자,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 독립(막내 결혼),자영업,500~700만원 미만,10~20만원 미만,3~5만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,15.0,4.0,6.0,4.0,2.0,2.0,0.5,2.0,2.0,7,True,18.5,소규모동반
5759,20251215,경상남도,진주시,20250913,1박 2일,2명,배우자,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 독립(막내 결혼),자영업,500~700만원 미만,20~30만원 미만,3~5만원 미만,10만원 이상,3~5만원 미만,1만원 미만,1~3만원 미만,1만원 미만,25.0,4.0,11.5,4.0,0.5,2.0,0.5,2.0,2.0,9,True,22.5,소규모동반
6686,20251013,울산시,모름,20251004,2박 3일,3명,친구,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,700만원 이상,10만원 미만,1만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1~3만원 미만,5.0,0.5,2.0,2.0,0.5,2.0,2.0,3.0,3.0,10,False,9.0,소규모동반
7167,20250721,경기도,광주시,20250621,1박 2일,5명 이상,친구,축제-행사 참여,M,50대,기혼,자녀 성인(막내 대학),경영/관리/전문직,700만원 이상,10~20만원 미만,3~5만원 미만,1~3만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,15.0,4.0,2.0,4.0,2.0,2.0,0.5,2.0,5.0,6,True,14.5,단체동반
7351,20250324,제주도,제주시(시내동)/한경면,20250221,2박 3일,혼자서,혼자서,문화-예술 즐기기 (미술관/ 공연 등),M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,300~500만원 미만,30~40만원 미만,10만원 이상,1~3만원 미만,10만원 이상,7~10만원 미만,1~3만원 미만,1~3만원 미만,35.0,11.5,2.0,11.5,8.5,2.0,2.0,3.0,1.0,2,False,37.5,혼자여행
