RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_CTPRVN_NM,TOUR_BEGIN_DE,TOUR_PD_VALUE,TOUR_COM_NMPR_NM,COM_ONE_TY,TOUR_PURPS_NM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TRIP_DAYS,TOTAL_EXP_MID_MANWON,TRAVEL_STYLE_GROUP,TRAVEL_MONTH,IS_PEAK_SEASON
300,20251013,강원도,20251001,2박 3일,혼자서,혼자서,역사-유적 감상 (유적지/ 박물관 등),M,60대 이상,기타,자녀 독립(막내 결혼),기타/무직,40만원 이상,10만원 이상,1만원 미만,1만원 미만,10만원 이상,10만원 이상,1만원 미만,3.0,45,홀로여행,10,False
1013,20250929,인천시,20250911,1박 2일,3명,친구,축제-행사 참여,M,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,20~30만원 미만,3~5만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,5~7만원 미만,1~3만원 미만,2.0,25,소규모 동반,9,False
1984,20251013,전라남도,20251012,1박 2일,혼자서,혼자서,역사-유적 감상 (유적지/ 박물관 등),F,60대 이상,기타,신혼기(자녀 없음),기타/무직,40만원 이상,10만원 이상,10만원 이상,10만원 이상,1~3만원 미만,5~7만원 미만,3~5만원 미만,2.0,45,홀로여행,10,False
3239,20250428,전라북도,20250111,1박 2일,2명,배우자,놀이/테마공원-온천 등 즐기기,M,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,10만원 미만,1만원 미만,1~3만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,1만원 미만,2.0,5,소규모 동반,1,False
4785,20251027,경상북도,20250815,2박 3일,2명,배우자,자연 풍경 감상 (산/ 바다 등),M,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,30~40만원 미만,7~10만원 미만,10만원 이상,5~7만원 미만,5~7만원 미만,3~5만원 미만,1만원 미만,3.0,35,소규모 동반,8,True
5759,20250818,경상남도,20250725,1박 2일,2명,배우자,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 독립(막내 결혼),자영업,10~20만원 미만,3~5만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,2.0,15,소규모 동반,7,True
5759,20251215,경상남도,20250913,1박 2일,2명,배우자,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 독립(막내 결혼),자영업,20~30만원 미만,3~5만원 미만,10만원 이상,3~5만원 미만,1만원 미만,1~3만원 미만,1만원 미만,2.0,25,소규모 동반,9,False
6686,20251013,울산시,20251004,2박 3일,3명,친구,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,10만원 미만,1만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1~3만원 미만,3.0,5,소규모 동반,10,False
7167,20250721,경기도,20250621,1박 2일,5명 이상,친구,축제-행사 참여,M,50대,기혼,자녀 성인(막내 대학),경영/관리/전문직,10~20만원 미만,3~5만원 미만,1~3만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,2.0,15,단체 동반,6,True
7351,20250324,제주도,20250221,2박 3일,혼자서,혼자서,문화-예술 즐기기 (미술관/ 공연 등),M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,30~40만원 미만,10만원 이상,1~3만원 미만,10만원 이상,7~10만원 미만,1~3만원 미만,1~3만원 미만,3.0,35,홀로여행,2,False
7351,20251013,제주도,20250919,2박 3일,혼자서,혼자서,자연 풍경 감상 (산/ 바다 등),M,20대,기혼,자녀 유아&성장(막내 입학전~초등생),기능/숙련/일반작업직,40만원 이상,7~10만원 미만,7~10만원 미만,7~10만원 미만,3~5만원 미만,1~3만원 미만,10만원 이상,3.0,45,홀로여행,9,False
8858,20250303,전라북도,20250203,3박 4일,혼자서,혼자서,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,30~40만원 미만,10만원 이상,10만원 이상,5~7만원 미만,1만원 미만,5~7만원 미만,1만원 미만,4.0,35,홀로여행,2,False
8858,20251013,서울시,20250729,1박 2일,2명,배우자,친지/친구/친척 만나기,F,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,10만원 미만,1만원 미만,1만원 미만,1~3만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,2.0,5,소규모 동반,7,True
12947,20250331,서울시,20250319,1박 2일,2명,배우자,쇼핑,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,20~30만원 미만,1만원 미만,10만원 이상,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,2.0,25,소규모 동반,3,False
14132,20250922,서울시,20250629,1박 2일,2명,배우자,도시 경관 감상 (건축물/ 거리 등),F,40대,기혼,신혼기(자녀 없음),기능/숙련/일반작업직,10~20만원 미만,7~10만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1~3만원 미만,2.0,15,소규모 동반,6,True
25003,20250929,제주도,20250805,3박 4일,5명 이상,부모/형제/자녀 등 가족,휴식,M,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,40만원 이상,10만원 이상,5~7만원 미만,10만원 이상,1만원 미만,5~7만원 미만,1만원 미만,4.0,45,단체 동반,8,True
26650,20251027,제주도,20250916,4박 5일,3명,배우자,축제-행사 참여,M,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,30~40만원 미만,5~7만원 미만,5~7만원 미만,5~7만원 미만,10만원 이상,5~7만원 미만,1만원 미만,5.0,35,소규모 동반,9,False
27763,20250922,강원도,20250825,3박 4일,2명,배우자,자연 풍경 감상 (산/ 바다 등),M,60대 이상,기혼,자녀 성인(막내 대학),경영/관리/전문직,40만원 이상,10만원 이상,10만원 이상,10만원 이상,10만원 이상,10만원 이상,10만원 이상,4.0,45,소규모 동반,8,True
30149,20251013,경상북도,20250712,2박 3일,5명 이상,부모/형제/자녀 등 가족,휴식,M,60대 이상,기혼,자녀 성인(막내 대학),경영/관리/전문직,10~20만원 미만,3~5만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1~3만원 미만,3.0,15,단체 동반,7,True
33516,20251027,충청북도,20250910,1박 2일,3명,친구,자연 풍경 감상 (산/ 바다 등),M,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,10~20만원 미만,5~7만원 미만,5~7만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,1만원 미만,2.0,15,소규모 동반,9,False
33541,20250428,서울시,20250328,1박 2일,2명,배우자,식도락 (지역 특색/제철 음식),M,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,20~30만원 미만,3~5만원 미만,7~10만원 미만,7~10만원 미만,1~3만원 미만,5~7만원 미만,1만원 미만,2.0,25,소규모 동반,3,False
34007,20251027,강원도,20251009,2박 3일,2명,배우자,휴식,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,20~30만원 미만,10만원 이상,3~5만원 미만,3~5만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,3.0,25,소규모 동반,10,False
34062,20251229,경기도,20251113,1박 2일,3명,직장동료,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,10~20만원 미만,1만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,2.0,15,소규모 동반,11,False
34334,20250324,강원도,20250110,3박 4일,5명 이상,배우자,식도락 (지역 특색/제철 음식),F,60대 이상,기혼,자녀 유아&성장(막내 입학전~초등생),전업주부,20~30만원 미만,1만원 미만,10만원 이상,1~3만원 미만,5~7만원 미만,3~5만원 미만,1만원 미만,4.0,25,단체 동반,1,False
36858,20250519,경기도,20250516,1박 2일,3명,부모/형제/자녀 등 가족,친지/친구/친척 만나기,M,60대 이상,미혼,미혼,기타/무직,10만원 미만,1만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,2.0,5,소규모 동반,5,True
37218,20251027,경상남도,20251005,1박 2일,3명,배우자,자연 풍경 감상 (산/ 바다 등),M,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,10만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,2.0,5,소규모 동반,10,False
37301,20250526,대전시,20250430,6박 7일 이상,4명,부모/형제/자녀 등 가족,친지/친구/친척 만나기,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,20~30만원 미만,1만원 미만,10만원 이상,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,7.0,25,단체 동반,4,False
37301,20251027,대구시,20251004,1박 2일,4명,부모/형제/자녀 등 가족,도시 경관 감상 (건축물/ 거리 등),F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,10~20만원 미만,1만원 미만,7~10만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,2.0,15,단체 동반,10,False
38127,20250512,경상북도,20250301,1박 2일,2명,친구,휴식,F,60대 이상,기혼,자녀 독립(막내 결혼),판매/서비스직,10만원 미만,1만원 미만,1~3만원 미만,1만원 미만,3~5만원 미만,1만원 미만,1만원 미만,2.0,5,소규모 동반,3,False
38674,20251124,전라남도,20251021,2박 3일,5명 이상,배우자,기타,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,30~40만원 미만,1만원 미만,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,3.0,35,단체 동반,10,False
39713,20250428,경상북도,20250314,2박 3일,혼자서,혼자서,역사-유적 감상 (유적지/ 박물관 등),M,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,20~30만원 미만,1만원 미만,5~7만원 미만,10만원 이상,1만원 미만,5~7만원 미만,1만원 미만,3.0,25,홀로여행,3,False
40332,20251027,서울시,20250809,2박 3일,4명,배우자,문화-예술 즐기기 (미술관/ 공연 등),F,50대,기혼,자녀 성장(막내 중고생),사무/기술직,30~40만원 미만,5~7만원 미만,10만원 이상,3~5만원 미만,10만원 이상,5~7만원 미만,3~5만원 미만,3.0,35,단체 동반,8,True
41927,20250331,제주도,20250301,1박 2일,혼자서,혼자서,식도락 (지역 특색/제철 음식),M,20대,미혼,미혼,사무/기술직,40만원 이상,5~7만원 미만,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,2.0,45,홀로여행,3,False
41927,20250915,제주도,20250801,1박 2일,혼자서,혼자서,식도락 (지역 특색/제철 음식),M,20대,미혼,미혼,경영/관리/전문직,20~30만원 미만,5~7만원 미만,5~7만원 미만,10만원 이상,1만원 미만,1만원 미만,1만원 미만,2.0,25,홀로여행,8,True
41927,20251208,제주도,20251101,1박 2일,혼자서,혼자서,식도락 (지역 특색/제철 음식),F,30대,미혼,미혼,경영/관리/전문직,30~40만원 미만,1만원 미만,10만원 이상,10만원 이상,10만원 이상,1만원 미만,1만원 미만,2.0,35,홀로여행,11,False
44592,20251027,강원도,20250709,1박 2일,혼자서,혼자서,역사-유적 감상 (유적지/ 박물관 등),M,60대 이상,기혼,자녀 성인(막내 대학),자영업,10~20만원 미만,1만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,2.0,15,홀로여행,7,True
44974,20250721,전라남도,20250606,1박 2일,3명,배우자,놀이/테마공원-온천 등 즐기기,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,20~30만원 미만,5~7만원 미만,5~7만원 미만,10만원 이상,1만원 미만,3~5만원 미만,1만원 미만,2.0,25,소규모 동반,6,True
44974,20251013,전라남도,20250725,2박 3일,3명,부모/형제/자녀 등 가족,식도락 (지역 특색/제철 음식),F,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,30~40만원 미만,7~10만원 미만,10만원 이상,10만원 이상,1만원 미만,1~3만원 미만,1만원 미만,3.0,35,소규모 동반,7,True
48008,20250331,제주도,20250112,6박 7일 이상,5명 이상,부모/형제/자녀 등 가족,놀이/테마공원-온천 등 즐기기,F,60대 이상,기혼,자녀 성장(막내 중고생),사무/기술직,40만원 이상,5~7만원 미만,10만원 이상,5~7만원 미만,5~7만원 미만,10만원 이상,10만원 이상,7.0,45,단체 동반,1,False
48008,20251117,부산시,20251003,3박 4일,4명,부모/형제/자녀 등 가족,문화-예술 즐기기 (미술관/ 공연 등),F,50대,기혼,자녀 성장(막내 중고생),사무/기술직,40만원 이상,10만원 이상,10만원 이상,10만원 이상,10만원 이상,10만원 이상,1만원 미만,4.0,45,단체 동반,10,False
49530,20250623,서울시,20250301,1박 2일,3명,친구,친지/친구/친척 만나기,M,30대,미혼,미혼,사무/기술직,10~20만원 미만,7~10만원 미만,7~10만원 미만,1만원 미만,1만원 미만,1만원 미만,1만원 미만,2.0,15,소규모 동반,3,False
