RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,DMSTC_TOUR_TY_VALUE,OVSEA_TOUR_TY_VALUE
19215,202410,M,60대,경기도,700만원 이상,개별 여행,여행경험없음
30528,202410,F,30대,경상북도,500이상700만원 미만,개별 여행,여행경험없음
44974,202410,F,60대,경기도,500이상700만원 미만,여행경험없음,개별 여행
48241,202410,F,60대,경기도,모름,개별 여행,여행경험없음
76639,202410,F,60대,경기도,모름,개별 여행,여행경험없음
77677,202410,F,60대,경기도,500이상700만원 미만,개별 여행,개별 여행
107336,202410,F,60대,전라남도,500이상700만원 미만,개별 여행,단체 패키지 여행
130729,202410,F,60대,경기도,300이상500만원 미만,개별 여행,여행경험없음
141228,202410,F,60대,경기도,300이상500만원 미만,여행경험없음,개별 여행
153718,202410,F,60대,충청남도(세종시 포함),500이상700만원 미만,개별 여행,단체 패키지 여행
154591,202410,M,30대,강원도,500이상700만원 미만,개별 여행,에어텔 또는 에어카텔 패키지 여행
158119,202410,F,50대,전라남도,300이상500만원 미만,여행경험없음,단체 패키지 여행
162194,202410,F,60대,서울특별시,300이상500만원 미만,개별 여행,여행경험없음
205112,202410,F,60대,경기도,500이상700만원 미만,개별 여행,여행경험없음
212577,202410,M,60대,경기도,모름,개별 여행,여행경험없음
212663,202410,M,30대,경상북도,700만원 이상,개별 여행,개별 여행
214389,202410,F,60대,서울특별시,500이상700만원 미만,개별 여행,개별 여행
216418,202410,M,20대,경기도,300이상500만원 미만,개별 여행,개별 여행
221903,202410,M,20대,서울특별시,300만원 미만,여행경험없음,개별 여행
254601,202410,F,60대,경기도,500이상700만원 미만,개별 여행,여행경험없음
258307,202410,M,40대,전라남도,500이상700만원 미만,여행경험없음,단체 패키지 여행
266305,202410,M,30대,전라북도,300이상500만원 미만,개별 여행,단체 패키지 여행
276819,202410,F,60대,서울특별시,모름,개별 여행,여행경험없음
282273,202410,F,30대,강원도,모름,개별 여행,여행경험없음
287361,202410,M,20대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음
299314,202410,F,60대,경기도,300이상500만원 미만,개별 여행,여행경험없음
299724,202410,F,60대,경상남도,300만원 미만,개별 여행,여행경험없음
310763,202410,F,60대,충청남도(세종시 포함),700만원 이상,개별 여행,개별 여행
318049,202410,F,30대,경기도,700만원 이상,개별 여행,여행경험없음
321291,202410,F,30대,경상북도,300만원 미만,개별 여행,에어텔 또는 에어카텔 패키지 여행
321410,202410,F,20대,경상북도,300만원 미만,개별 여행,여행경험없음
323309,202410,F,20대,충청남도(세종시 포함),300만원 미만,개별 여행,여행경험없음
335138,202410,M,20대,경기도,300이상500만원 미만,여행경험없음,에어텔 또는 에어카텔 패키지 여행
335281,202410,M,30대,강원도,300이상500만원 미만,개별 여행,여행경험없음
335721,202410,F,20대,제주도,모름,여행경험없음,개별 여행
336313,202410,M,20대,서울특별시,모름,개별 여행,여행경험없음
337881,202410,F,20대,강원도,모름,개별 여행,여행경험없음
345098,202410,F,60대,경상남도,모름,개별 여행,여행경험없음
345971,202410,F,60대,서울특별시,700만원 이상,개별 여행,단체 패키지 여행
346056,202410,M,30대,대구광역시,700만원 이상,개별 여행,개별 여행
347540,202410,M,20대,서울특별시,모름,개별 여행,개별 여행
347719,202410,M,20대,서울특별시,모름,개별 여행,여행경험없음
349455,202410,M,20대,경상북도,모름,개별 여행,여행경험없음
349551,202410,F,20대,경기도,모름,개별 여행,여행경험없음
349700,202410,M,20대,전라남도,300만원 미만,개별 여행,개별 여행
349897,202410,F,60대,경기도,700만원 이상,개별 여행,단체 패키지 여행
353035,202410,F,60대,경상남도,300이상500만원 미만,개별 여행,여행경험없음
356856,202410,F,60대,경상남도,300만원 미만,개별 여행,여행경험없음
360481,202410,M,20대,경기도,700만원 이상,여행경험없음,개별 여행
363127,202410,F,60대,충청남도(세종시 포함),300만원 미만,개별 여행,개별 여행
363835,202410,F,60대,서울특별시,500이상700만원 미만,여행경험없음,단체 패키지 여행
366108,202410,F,60대,경기도,700만원 이상,개별 여행,단체 패키지 여행
366668,202410,M,20대,서울특별시,300이상500만원 미만,개별 여행,여행경험없음
366675,202410,M,20대,대구광역시,모름,개별 여행,단체 패키지 여행
368805,202410,M,20대,울산광역시,300이상500만원 미만,개별 여행,개별 여행
369210,202410,M,30대,충청남도(세종시 포함),500이상700만원 미만,개별 여행,여행경험없음
380510,202410,M,20대,경기도,모름,개별 여행,개별 여행
380798,202410,M,40대,전라남도,300이상500만원 미만,개별 여행,여행경험없음
384605,202410,F,60대,전라남도,300만원 미만,개별 여행,여행경험없음
393015,202410,M,20대,경기도,300만원 미만,개별 여행,여행경험없음
393517,202410,M,20대,경기도,500이상700만원 미만,개별 여행,개별 여행
394153,202410,M,20대,경기도,모름,개별 여행,여행경험없음
394187,202410,M,20대,서울특별시,모름,개별 여행,여행경험없음
394552,202410,F,60대,서울특별시,700만원 이상,여행경험없음,단체 패키지 여행
395942,202410,F,30대,강원도,300이상500만원 미만,개별 여행,개별 여행
396415,202410,F,60대,강원도,500이상700만원 미만,여행경험없음,단체 패키지 여행
402076,202410,M,20대,서울특별시,모름,개별 여행,개별 여행
403991,202410,F,60대,경기도,300이상500만원 미만,여행경험없음,개별 여행
407303,202410,M,20대,충청남도(세종시 포함),모름,개별 여행,여행경험없음
408809,202410,M,30대,경기도,300이상500만원 미만,개별 여행,단체 패키지 여행
410829,202410,M,20대,경기도,700만원 이상,개별 여행,여행경험없음
411573,202410,F,20대,광주광역시,500이상700만원 미만,개별 여행,여행경험없음
411811,202410,F,20대,광주광역시,300만원 미만,개별 여행,개별 여행
417765,202410,F,20대,서울특별시,500이상700만원 미만,개별 여행,개별 여행
420644,202410,M,20대,서울특별시,모름,여행경험없음,개별 여행
421122,202410,M,20대,경기도,500이상700만원 미만,단체 패키지 여행,에어텔 또는 에어카텔 패키지 여행
421282,202410,M,20대,대구광역시,모름,여행경험없음,에어텔 또는 에어카텔 패키지 여행
422279,202410,F,60대,서울특별시,700만원 이상,개별 여행,개별 여행
422345,202410,M,20대,서울특별시,700만원 이상,개별 여행,에어텔 또는 에어카텔 패키지 여행
422816,202410,M,20대,인천광역시,500이상700만원 미만,개별 여행,개별 여행
424679,202410,M,20대,경기도,700만원 이상,개별 여행,개별 여행
425383,202410,M,20대,경상북도,500이상700만원 미만,개별 여행,여행경험없음
426614,202410,M,20대,서울특별시,모름,개별 여행,여행경험없음
428582,202410,M,20대,전라북도,모름,개별 여행,여행경험없음
430402,202410,M,20대,경기도,700만원 이상,개별 여행,여행경험없음
430752,202410,F,20대,전라남도,모름,개별 여행,여행경험없음
431072,202410,M,20대,경기도,700만원 이상,여행경험없음,개별 여행
431746,202410,M,20대,서울특별시,700만원 이상,개별 여행,개별 여행
432463,202410,M,20대,경상북도,모름,개별 여행,개별 여행
434348,202410,M,20대,경기도,모름,개별 여행,여행경험없음
436106,202410,M,20대,인천광역시,모름,개별 여행,여행경험없음
436156,202410,F,60대,서울특별시,700만원 이상,개별 여행,단체 패키지 여행
443855,202410,M,20대,대구광역시,모름,개별 여행,여행경험없음
443956,202410,F,20대,대구광역시,700만원 이상,개별 여행,여행경험없음
444347,202410,F,20대,전라북도,모름,개별 여행,여행경험없음
445389,202410,M,20대,대구광역시,모름,여행경험없음,개별 여행
445957,202410,M,20대,인천광역시,500이상700만원 미만,개별 여행,여행경험없음
446599,202410,M,20대,대구광역시,모름,에어텔 또는 에어카텔 패키지 여행,단체 패키지 여행
446820,202410,F,60대,서울특별시,700만원 이상,개별 여행,단체 패키지 여행
447341,202410,M,60대,경기도,500이상700만원 미만,개별 여행,단체 패키지 여행
447439,202410,M,20대,경기도,모름,개별 여행,여행경험없음
447830,202410,M,20대,인천광역시,모름,개별 여행,여행경험없음
449522,202410,M,20대,경기도,700만원 이상,개별 여행,개별 여행
451594,202410,M,20대,서울특별시,300이상500만원 미만,에어텔 또는 에어카텔 패키지 여행,개별 여행
453320,202410,F,60대,서울특별시,700만원 이상,개별 여행,개별 여행
453626,202410,F,20대,대구광역시,모름,개별 여행,여행경험없음
455236,202410,M,40대,전라남도,500이상700만원 미만,개별 여행,여행경험없음
456255,202410,M,20대,전라남도,500이상700만원 미만,개별 여행,여행경험없음
456332,202410,M,30대,대구광역시,700만원 이상,개별 여행,여행경험없음
