RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_BEGIN_DE,TOUR_PD_VALUE,TOUR_COM_NMPR_NM,COM_ONE_TY,COM_TWO_TY,COM_THREE_TY,COM_FOUR_TY,COM_FIVE_TY,COM_SIX_TY,TOUR_PURPS_NM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM
130808,20251117,인천시,모름,20250810,6박 7일 이상,2명,배우자,,,,,,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,300~500만원 미만
151677,20251117,경기도,광주시,20251028,1박 2일,2명,배우자,,,,,,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상
156439,20251117,충청북도,단양군/제천시/충주시(구 청원군 포함),20250908,6박 7일 이상,혼자서,혼자서,,,,,,문화-예술 즐기기 (미술관/ 공연 등),M,30대,미혼,미혼,사무/기술직,500~700만원 미만
245007,20251117,전라남도,구체적인 지역 모름,20251008,2박 3일,4명,배우자,부모/형제/자녀 등 가족,,,,,자연 풍경 감상 (산/ 바다 등),F,40대,기혼,자녀 성장(막내 중고생),기타/무직,모름
321410,20251117,경상북도,청도군,20251114,2박 3일,2명,친구,,,,,,휴식,F,20대,미혼,미혼,사무/기술직,300만원 미만
333273,20251117,대구시,모름,20251003,2박 3일,2명,배우자,,,,,,놀이/테마공원-온천 등 즐기기,M,20대,기혼,신혼기(자녀 없음),기능/숙련/일반작업직,300~500만원 미만
342927,20251117,서울시,모름,20250901,3박 4일,2명,부모/형제/자녀 등 가족,,,,,,역사-유적 감상 (유적지/ 박물관 등),F,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,300~500만원 미만
350087,20251117,충청남도,아산시/천안시,20250816,1박 2일,혼자서,혼자서,,,,,,휴식,M,20대,미혼,미혼,기타/무직,500~700만원 미만
367713,20251117,부산시,모름,20250813,2박 3일,3명,친구,,,,,,휴식,F,60대 이상,기타,자녀 독립(막내 결혼),기타/무직,300만원 미만
400936,20251117,경기도,화성시,20251025,1박 2일,2명,직장동료,,,,,,휴식,M,20대,미혼,미혼,사무/기술직,모름
408809,20251117,충청남도,공주시/부여군,20251003,2박 3일,2명,배우자,,,,,,문화-예술 즐기기 (미술관/ 공연 등),M,30대,미혼,미혼,경영/관리/전문직,300~500만원 미만
410802,20251117,강원도,강릉시,20251007,3박 4일,2명,배우자,,,,,,자연 풍경 감상 (산/ 바다 등),M,20대,미혼,미혼,대학/대학원생,300~500만원 미만
411481,20251117,경상남도,거창군/창원시,20251020,1박 2일,2명,배우자,,,,,,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,모름
411884,20251117,경기도,가평군/수원시/양평군,20251001,6박 7일 이상,2명,연인,,,,,,식도락 (지역 특색/제철 음식),M,30대,미혼,미혼,대학/대학원생,모름
412110,20251117,부산시,모름,20251113,1박 2일,2명,친구,,,,,,문화-예술 즐기기 (미술관/ 공연 등),M,20대,미혼,미혼,기능/숙련/일반작업직,300만원 미만
413000,20251117,제주도,대정읍/애월읍/제주시(시내동),20251008,3박 4일,3명,배우자,부모/형제/자녀 등 가족,,,,,휴식,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,700만원 이상
418156,20251117,전라남도,광양시,20251011,1박 2일,2명,배우자,,,,,,친지/친구/친척 만나기,F,60대 이상,기혼,자녀 성인(막내 대학),판매/서비스직,300~500만원 미만
419168,20251117,경기도,가평군,20250801,2박 3일,3명,부모/형제/자녀 등 가족,친구,,,,,기타,M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,700만원 이상
424197,20251117,경기도,수원시,20251019,1박 2일,2명,연인,,,,,,식도락 (지역 특색/제철 음식),M,20대,미혼,미혼,대학/대학원생,700만원 이상
425066,20251117,부산시,모름,20251002,1박 2일,혼자서,혼자서,,,,,,휴식,M,20대,미혼,미혼,대학/대학원생,모름
425383,20251117,부산시,모름,20250801,1박 2일,4명,부모/형제/자녀 등 가족,,,,,,놀이/테마공원-온천 등 즐기기,M,20대,미혼,미혼,사무/기술직,500~700만원 미만
429940,20251117,서울시,모름,20251024,1박 2일,3명,직장동료,,,,,,쇼핑,M,20대,미혼,미혼,기능/숙련/일반작업직,모름
430700,20251117,경기도,안양시,20250815,1박 2일,3명,부모/형제/자녀 등 가족,,,,,,자연 풍경 감상 (산/ 바다 등),M,20대,미혼,미혼,대학/대학원생,700만원 이상
