RESPOND_ID,EXAMIN_BEGIN_DE_x,TOUR_CTPRVN_NM_x,TOUR_SIGNGU_NM_x,TOUR_BEGIN_DE,TOUR_PD_VALUE_x,TOUR_COM_NMPR_NM_x,COM_ONE_TY,COM_TWO_TY,COM_THREE_TY,COM_FOUR_TY,COM_FIVE_TY,COM_SIX_TY,TOUR_PURPS_NM,SEXDSTN_FLAG_CD_x,AGRDE_FLAG_NM_x,MRRG_AT_NM_x,CHLDRN_TY_NM_x,OCCP_NM_x,HSHLD_INCOME_DGREE_NM_x,EXAMIN_BEGIN_DE_y,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_CTPRVN_NM_y,TOUR_SIGNGU_NM_y,TOUR_COM_NMPR_NM_y,TOUR_PD_VALUE_y,SEXDSTN_FLAG_CD_y,AGRDE_FLAG_NM_y,MRRG_AT_NM_y,CHLDRN_TY_NM_y,OCCP_NM_y,HSHLD_INCOME_DGREE_NM_y
186769,20240422,경상남도,밀양시/창원시,20240330,1박 2일,3명,부모/형제/자녀 등 가족,,,,,,식도락 (지역 특색/제철 음식),F,60대 이상,기타,자녀 성인(막내 대학),기타/무직,300만원 미만,20240422,10~20만원 미만,1만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1~3만원 미만,경상남도,밀양시/창원시,3명,1박 2일,F,60대 이상,기타,자녀 성인(막내 대학),기타/무직,300만원 미만
321650,20240422,강원도,강릉시/원주시,20240401,1박 2일,2명,친구,,,,,,친지/친구/친척 만나기,M,30대,미혼,미혼,사무/기술직,500~700만원 미만,20240422,10만원 미만,1~3만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,강원도,강릉시/원주시,2명,1박 2일,M,30대,미혼,미혼,사무/기술직,500~700만원 미만
368738,20240422,제주도,모름,20240126,3박 4일,3명,친구,,,,,,자연 풍경 감상 (산/ 바다 등),M,20대,미혼,미혼,사무/기술직,700만원 이상,20240422,40만원 이상,10만원 이상,10만원 이상,10만원 이상,1만원 미만,10만원 이상,10만원 이상,제주도,모름,3명,3박 4일,M,20대,미혼,미혼,사무/기술직,700만원 이상
381473,20240422,부산시,모름,20240301,1박 2일,4명,친구,,,,,,친지/친구/친척 만나기,M,20대,미혼,미혼,사무/기술직,300~500만원 미만,20240422,10~20만원 미만,1만원 미만,5~7만원 미만,7~10만원 미만,1만원 미만,1~3만원 미만,1만원 미만,부산시,모름,4명,1박 2일,M,20대,미혼,미혼,사무/기술직,300~500만원 미만
384605,20240422,충청남도,천안시,20240301,2박 3일,2명,배우자,,,,,,역사-유적 감상 (유적지/ 박물관 등),F,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,300~500만원 미만,20240422,10~20만원 미만,5~7만원 미만,3~5만원 미만,3~5만원 미만,1만원 미만,3~5만원 미만,1만원 미만,충청남도,천안시,2명,2박 3일,F,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,300~500만원 미만
391206,20240422,서울시,모름,20240318,4박 5일,혼자서,혼자서,,,,,,역사-유적 감상 (유적지/ 박물관 등),M,20대,미혼,미혼,사무/기술직,700만원 이상,20240422,30~40만원 미만,10만원 이상,7~10만원 미만,7~10만원 미만,1만원 미만,1~3만원 미만,1만원 미만,서울시,모름,혼자서,4박 5일,M,20대,미혼,미혼,사무/기술직,700만원 이상
394226,20240422,대전시,모름,20240207,6박 7일 이상,4명,부모/형제/자녀 등 가족,,,,,,친지/친구/친척 만나기,M,20대,미혼,미혼,대학/대학원생,300~500만원 미만,20240422,모름,모름,모름,모름,모름,모름,모름,대전시,모름,4명,6박 7일 이상,M,20대,미혼,미혼,대학/대학원생,300~500만원 미만
399199,20240422,전라남도,순천시/여수시,20240417,1박 2일,2명,배우자,,,,,,취미-운동 활동 (등산/ 낚시/ 골프 등),F,60대 이상,기혼,자녀 성인(막내 대학),자영업,700만원 이상,20240422,30~40만원 미만,5~7만원 미만,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1~3만원 미만,전라남도,순천시/여수시,2명,1박 2일,F,60대 이상,기혼,자녀 성인(막내 대학),자영업,700만원 이상
400858,20240422,대구시,모름,20240308,2박 3일,2명,친구,,,,,,휴식,M,20대,미혼,미혼,대학/대학원생,300~500만원 미만,20240422,20~30만원 미만,7~10만원 미만,5~7만원 미만,7~10만원 미만,1만원 미만,5~7만원 미만,1만원 미만,대구시,모름,2명,2박 3일,M,20대,미혼,미혼,대학/대학원생,300~500만원 미만
401653,20240422,경기도,수원시,20240210,2박 3일,4명,부모/형제/자녀 등 가족,,,,,,친지/친구/친척 만나기,F,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상,20240422,20~30만원 미만,1만원 미만,10만원 이상,1~3만원 미만,3~5만원 미만,5~7만원 미만,5~7만원 미만,경기도,수원시,4명,2박 3일,F,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상
409527,20240422,경기도,수원시,20240420,2박 3일,2명,연인,,,,,,식도락 (지역 특색/제철 음식),M,20대,미혼,미혼,자영업,300~500만원 미만,20240422,모름,모름,모름,모름,모름,모름,모름,경기도,수원시,2명,2박 3일,M,20대,미혼,미혼,자영업,300~500만원 미만
410924,20240422,강원도,원주시,20240113,1박 2일,2명,배우자,,,,,,도시 경관 감상 (건축물/ 거리 등),M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),기타/무직,700만원 이상,20240422,40만원 이상,10만원 이상,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,강원도,원주시,2명,1박 2일,M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),기타/무직,700만원 이상
422770,20240422,서울시,모름,20240330,1박 2일,혼자서,혼자서,,,,,,식도락 (지역 특색/제철 음식),M,20대,미혼,미혼,대학/대학원생,700만원 이상,20240422,모름,모름,모름,모름,모름,모름,모름,서울시,모름,혼자서,1박 2일,M,20대,미혼,미혼,대학/대학원생,700만원 이상
429242,20240422,전라남도,해남군,20240329,2박 3일,혼자서,혼자서,,,,,,친지/친구/친척 만나기,M,20대,미혼,미혼,대학/대학원생,300~500만원 미만,20240422,모름,모름,모름,모름,모름,모름,모름,전라남도,해남군,혼자서,2박 3일,M,20대,미혼,미혼,대학/대학원생,300~500만원 미만
432795,20240422,전라남도,여수시,20240302,1박 2일,3명,부모/형제/자녀 등 가족,,,,,,자연 풍경 감상 (산/ 바다 등),M,20대,미혼,미혼,사무/기술직,700만원 이상,20240422,40만원 이상,10만원 이상,5~7만원 미만,10만원 이상,1~3만원 미만,7~10만원 미만,5~7만원 미만,전라남도,여수시,3명,1박 2일,M,20대,미혼,미혼,사무/기술직,700만원 이상
436650,20240422,전라북도,익산시,20240329,2박 3일,혼자서,혼자서,,,,,,휴식,M,20대,미혼,미혼,대학/대학원생,300~500만원 미만,20240422,20~30만원 미만,7~10만원 미만,10만원 이상,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,전라북도,익산시,혼자서,2박 3일,M,20대,미혼,미혼,대학/대학원생,300~500만원 미만
439023,20240422,전라북도,부안군,20240207,5박 6일,혼자서,혼자서,,,,,,휴식,F,20대,미혼,미혼,사무/기술직,300만원 미만,20240422,모름,모름,모름,모름,모름,모름,모름,전라북도,부안군,혼자서,5박 6일,F,20대,미혼,미혼,사무/기술직,300만원 미만
442741,20240422,부산시,모름,20240102,3박 4일,혼자서,혼자서,,,,,,자연 풍경 감상 (산/ 바다 등),M,20대,미혼,미혼,대학/대학원생,500~700만원 미만,20240422,모름,모름,모름,모름,모름,모름,모름,부산시,모름,혼자서,3박 4일,M,20대,미혼,미혼,대학/대학원생,500~700만원 미만
444683,20240422,경기도,안산시,20240103,4박 5일,5명 이상,친구,,,,,,놀이/테마공원-온천 등 즐기기,M,20대,미혼,미혼,대학/대학원생,300~500만원 미만,20240422,20~30만원 미만,3~5만원 미만,7~10만원 미만,1만원 미만,1만원 미만,10만원 이상,3~5만원 미만,경기도,안산시,5명 이상,4박 5일,M,20대,미혼,미혼,대학/대학원생,300~500만원 미만
450261,20240422,인천시,모름,20240312,6박 7일 이상,혼자서,혼자서,,,,,,놀이/테마공원-온천 등 즐기기,M,20대,미혼,미혼,대학/대학원생,700만원 이상,20240422,모름,모름,모름,모름,모름,모름,모름,인천시,모름,혼자서,6박 7일 이상,M,20대,미혼,미혼,대학/대학원생,700만원 이상
451634,20240422,서울시,모름,20240329,2박 3일,2명,친구,,,,,,친지/친구/친척 만나기,M,20대,미혼,미혼,기타/무직,300~500만원 미만,20240422,10~20만원 미만,1만원 미만,7~10만원 미만,10만원 이상,1만원 미만,1만원 미만,1만원 미만,서울시,모름,2명,2박 3일,M,20대,미혼,미혼,기타/무직,300~500만원 미만
452092,20240422,제주도,모름,20240213,2박 3일,2명,부모/형제/자녀 등 가족,,,,,,친지/친구/친척 만나기,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,700만원 이상,20240422,20~30만원 미만,1만원 미만,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,제주도,모름,2명,2박 3일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,700만원 이상
